date,mean early autumn bottom oxygen concentration
1959,4.77
1960,4.09
1962,4.73
1963,8.72
1964,7.18
1965,5.19
1966,4.72
1967,5.09
1968,3.0
1969,1.34
1970,5.39
1971,7.22
1972,4.14
1973,4.2
1974,2.34
1975,1.4
1976,0.44
1977,0.73
1978,0.46
1979,4.75
1980,3.89
1981,7.45
1982,4.79
1983,4.68
1984,6.17
1985,7.11
1986,7.37
1987,5.1
1988,3.98
1989,3.26
1990,2.95
1991,2.72
1992,2.4
1993,0.89
1994,1.6
1995,1.2
1996,1.1
1997,1.68
1998,1.46
1999,5.03
2000,4.76
2001,4.61
2002,3.27
2003,3.95
2004,4.54
2005,6.61
2006,7.38
2007,4.51
2008,4.27
2009,4.21
2010,4.69
2011,3.52
2012,7.54
2013,5.17
2014,3.76
2015,4.05
2016,2.82
2017,2.48
2018,2.89
2019,3.22
2020,2.72
2021,2.37
2022,1.95
2023,2.27
