date,mean winter bottom temperature
1970,5.22
1971,5.12
1972,4.8
1973,4.93
1974,5.0
1975,5.13
1976,5.25
1977,5.32
1978,5.6
1979,5.6
1980,5.7
1981,5.67
1982,5.29
1983,5.4
1985,5.3
1986,5.26
1987,5.0
1988,5.0
1989,5.0
1990,5.0
1991,5.2
1992,5.32
1994,5.48
1995,5.61
1996,5.67
1997,6.1
2000,5.82
2001,5.83
2002,5.88
2003,5.99
2005,5.94
2006,5.49
2007,5.38
2008,5.46
2009,5.53
2010,5.58
2011,5.54
2012,5.47
2013,5.15
2014,5.28
2015,5.35
2016,5.45
2017,5.56
2018,5.7
2019,5.82
2020,5.9
2021,5.97
2022,6.07
