date,mean summer surface oxygen concentration
1957,10.28
1958,10.42
1959,9.97
1960,10.69
1961,10.26
1962,11.37
1963,10.23
1964,9.49
1965,10.19
1966,10.95
1967,10.76
1968,10.24
1969,10.26
1970,10.35
1971,11.28
1972,10.37
1973,10.27
1974,10.2
1975,12.63
1976,10.99
1977,10.67
1978,12.63
1979,11.77
1980,11.17
1981,13.27
1982,11.2
1983,10.97
1984,10.49
1985,12.2
1986,11.23
1987,11.2
1988,10.56
1989,10.41
1990,10.62
1991,10.81
1992,10.8
1993,11.77
1994,11.76
1995,10.59
1996,11.31
1997,10.83
1998,10.15
1999,10.86
2000,10.35
2001,10.13
2002,10.73
2003,10.15
2004,10.81
2005,10.35
2006,11.02
2007,11.04
2008,10.4
2009,11.28
2010,10.56
2011,10.16
2012,10.82
2013,9.57
2014,10.58
2015,9.78
2016,9.95
2017,9.57
2018,10.19
2019,10.27
2020,9.53
2021,9.94
2022,9.58
2023,9.89
