date,mean spring bottom oxygen concentration
1958,8.94
1959,6.14
1960,6.69
1961,5.28
1962,5.55
1963,10.56
1964,7.55
1965,7.37
1966,7.62
1967,5.99
1968,4.88
1969,4.1
1970,9.41
1971,9.4
1972,5.49
1973,5.95
1974,3.62
1975,2.74
1976,2.01
1977,2.09
1978,2.07
1979,7.35
1980,6.24
1981,9.64
1982,7.14
1983,6.24
1984,8.64
1985,8.53
1986,9.4
1987,6.5
1988,5.52
1989,4.4
1990,3.84
1991,3.3
1992,2.83
1993,2.54
1994,2.64
1995,2.37
1996,2.31
1997,2.63
1998,2.4
1999,6.5
2000,6.06
2001,5.19
2002,4.28
2003,5.35
2004,5.3
2005,10.3
2006,10.36
2007,6.56
2008,5.06
2009,4.76
2010,4.79
2011,5.87
2012,9.96
2013,6.81
2014,4.94
2015,4.24
2016,3.62
2017,3.06
2018,3.81
2019,3.81
2021,2.79
2022,2.61
2023,2.61
