date,mean summer epilimnion 0-10 m oxygen concentration
1957,10.25
1958,11.34
1959,11.03
1960,10.74
1961,10.44
1962,11.57
1963,10.72
1964,10.16
1965,10.27
1966,10.96
1967,11.33
1968,10.2
1969,10.3
1970,10.53
1971,10.13
1972,10.44
1973,10.33
1974,10.02
1975,12.55
1976,9.86
1977,10.22
1978,11.73
1979,11.05
1980,10.73
1981,11.66
1982,10.82
1983,11.72
1984,10.47
1985,11.26
1986,10.94
1987,10.7
1988,10.24
1989,10.44
1990,10.2
1991,11.6
1992,10.59
1993,11.2
1994,12.06
1995,11.03
1996,11.25
1997,10.78
1998,10.66
1999,10.94
2000,10.34
2001,10.21
2002,10.22
2003,10.45
2004,11.17
2005,11.36
2006,11.95
2007,10.88
2008,10.74
2009,11.56
2010,11.24
2011,10.38
2012,10.69
2013,10.5
2014,11.01
2015,10.76
2016,10.55
2017,9.94
2018,10.73
2019,11.12
2020,10.29
2021,9.91
2022,10.42
2023,10.52
