date,mean winter epilimnion 0-5 m oxygen concentration
1970,9.9
1971,10.26
1972,10.34
1973,10.09
1974,10.57
1975,10.61
1976,10.76
1977,10.92
1978,10.31
1979,10.27
1980,10.19
1981,10.0
1982,10.35
1983,10.67
1985,10.02
1986,10.7
1987,10.95
1988,10.59
1989,10.76
1990,10.5
1991,10.44
1992,10.25
1993,10.31
1994,10.58
1995,10.28
1996,10.25
1997,10.06
1999,9.87
2000,10.09
2001,10.36
2002,10.04
2003,10.15
2005,10.38
2006,10.86
2007,10.41
2008,10.58
2009,10.15
2010,10.32
2011,10.59
2012,10.35
2013,10.24
2014,10.53
2015,10.11
2016,9.98
2017,9.81
2018,10.07
2019,10.37
2020,10.07
2021,9.99
2022,10.15
