date,mean autumn epilimnion 0-10 m oxygen concentration
1957,8.43
1958,10.13
1959,10.34
1960,9.51
1961,10.38
1962,10.85
1963,10.04
1964,9.82
1966,10.66
1967,9.58
1968,9.23
1969,9.63
1970,10.72
1971,9.36
1972,9.56
1973,9.35
1974,9.71
1975,9.72
1976,10.04
1977,9.99
1978,11.06
1979,9.68
1980,9.16
1981,9.44
1982,9.98
1983,9.47
1984,10.22
1985,10.55
1986,9.97
1987,9.54
1988,9.99
1989,9.24
1990,9.35
1991,9.47
1992,9.33
1993,9.51
1994,9.8
1995,10.73
1996,9.93
1997,9.6
1998,9.57
1999,8.11
2000,8.85
2001,9.5
2002,8.93
2003,9.41
2004,9.59
2005,9.73
2006,9.85
2007,9.98
2008,10.01
2009,10.8
2010,9.73
2011,9.26
2012,9.7
2013,9.47
2014,9.32
2015,9.92
2016,8.88
2017,9.68
2018,9.2
2019,9.85
2020,9.64
2021,9.77
2022,10.01
2023,9.41
