date,mean spring surface temperature
1958,8.68
1959,11.41
1960,11.02
1961,11.12
1962,8.02
1963,9.28
1964,10.46
1966,11.67
1967,9.11
1969,11.63
1970,6.25
1971,7.5
1972,7.07
1973,7.39
1974,9.54
1975,9.32
1976,7.73
1977,6.91
1978,7.5
1979,6.88
1980,8.27
1981,7.66
1982,7.5
1983,7.64
1984,7.24
1985,7.66
1986,6.23
1987,7.4
1988,8.51
1989,8.69
1990,8.44
1991,7.39
1992,8.1
1993,9.38
1994,8.61
1995,8.13
1996,9.86
1997,9.19
1998,8.07
1999,9.15
2000,9.03
2001,8.2
2002,8.79
2003,9.69
2004,7.35
2005,10.62
2006,9.71
2007,13.65
2008,8.2
2009,10.42
2010,8.78
2011,10.43
2012,9.02
2013,9.04
2014,9.81
2015,11.03
2016,11.26
2017,10.57
2018,12.92
2019,12.03
2021,10.62
2022,10.4
2023,9.57
