date,mean summer thermocline depth
1957,12.86
1958,10.89
1959,8.23
1960,15.05
1961,14.69
1962,9.37
1963,11.17
1964,14.01
1965,17.34
1966,15.69
1967,14.0
1968,17.95
1969,8.79
1970,11.03
1971,8.25
1972,13.48
1973,14.14
1974,12.57
1975,9.13
1976,12.5
1977,9.56
1978,9.97
1979,9.41
1980,20.45
1981,10.32
1982,9.55
1983,8.1
1984,11.8
1985,8.9
1986,11.03
1987,11.68
1988,13.09
1989,10.21
1990,11.3
1991,9.07
1993,14.07
1994,6.2
1995,10.18
1996,13.55
1997,10.83
1998,11.3
1999,8.34
2000,15.47
2001,11.49
2002,12.09
2003,10.54
2004,14.11
2005,10.57
2006,5.61
2007,21.52
2008,12.13
2009,15.28
2010,8.5
2011,14.73
2012,13.36
2013,7.8
2014,14.3
2015,10.46
2016,10.98
2017,11.26
2018,8.34
2019,6.51
2020,10.24
2021,9.25
2022,10.33
2023,14.06
