date,mean early autumn Schmidt stability
1959,27071.16
1960,25296.34
1962,23394.07
1963,20963.26
1964,28638.84
1965,21569.34
1966,23327.91
1967,18578.84
1968,25724.55
1969,23656.66
1970,24100.43
1971,19163.1
1972,20898.5
1973,17423.13
1974,24533.2
1975,22682.74
1976,19648.57
1977,20938.54
1978,21121.36
1979,23239.96
1980,23687.42
1981,23669.37
1982,21973.27
1983,24376.23
1984,25374.32
1985,22670.26
1986,18907.04
1987,24599.56
1988,23209.73
1989,23347.7
1990,24367.22
1991,21760.06
1992,24366.31
1993,20821.02
1994,19955.1
1995,22496.06
1996,18756.11
1997,23454.81
1998,24096.93
1999,23677.32
2000,27646.94
2001,19565.7
2002,23312.28
2003,22144.79
2004,28488.62
2005,22850.03
2006,24358.22
2007,21664.12
2008,17312.66
2009,27537.74
2010,23839.32
2011,30325.06
2012,23339.79
2013,25637.93
2014,26371.28
2015,24238.54
2016,26520.6
2017,28685.54
2018,28181.45
2019,21694.9
2020,32865.86
2021,29696.26
2022,30181.79
2023,29603.07
