date,mean autumn epilimnion 0-5 m oxygen concentration
1957,8.84
1958,10.44
1959,10.5
1960,9.46
1961,10.43
1962,10.81
1963,10.43
1964,9.77
1966,11.07
1967,10.22
1968,9.55
1969,9.62
1970,11.19
1971,9.49
1972,9.61
1973,9.49
1974,9.87
1975,9.82
1976,10.21
1977,10.05
1978,11.45
1979,9.82
1980,9.26
1981,9.54
1982,10.08
1983,9.81
1984,10.31
1985,10.48
1986,10.88
1987,10.19
1988,10.46
1989,9.21
1990,9.5
1991,9.53
1992,9.62
1993,9.77
1994,9.83
1995,11.01
1996,9.97
1997,10.07
1998,9.62
1999,8.5
2000,8.89
2001,9.68
2002,9.68
2003,9.44
2004,9.8
2005,10.18
2006,10.14
2007,10.02
2008,10.12
2009,10.81
2010,9.69
2011,9.39
2012,9.77
2013,9.47
2014,9.51
2015,9.97
2016,9.31
2017,9.74
2018,9.39
2019,9.95
2020,9.71
2021,9.9
2022,10.26
2023,10.51
