date,mean spring epilimnion 0-10 m oxygen concentration
1958,11.53
1959,11.88
1960,11.91
1961,12.22
1962,11.75
1963,11.97
1964,12.25
1965,11.56
1966,14.73
1967,12.19
1968,11.72
1969,12.52
1970,11.46
1971,12.66
1972,11.22
1973,11.95
1974,11.75
1975,12.06
1976,11.07
1977,11.51
1978,11.24
1979,11.25
1980,11.99
1981,11.95
1982,11.87
1983,11.85
1984,12.16
1985,11.88
1986,11.55
1987,12.82
1988,13.13
1989,12.67
1990,12.88
1991,12.08
1992,11.89
1993,13.08
1994,12.4
1995,12.32
1996,12.21
1997,12.3
1998,11.55
1999,12.05
2000,12.99
2001,11.32
2002,12.7
2003,11.99
2004,11.49
2005,13.06
2006,13.42
2007,12.5
2008,11.61
2009,12.8
2010,12.19
2011,12.18
2012,12.14
2013,12.39
2014,12.16
2015,12.29
2016,11.61
2017,11.65
2018,12.94
2019,12.52
2021,12.05
2022,11.26
2023,12.29
