date,mean spring epilimnion 0-5 m oxygen concentration
1958,11.57
1959,11.68
1960,11.83
1961,12.49
1962,11.76
1963,12.12
1964,12.48
1965,11.5
1966,15.3
1967,12.29
1968,11.88
1969,13.05
1970,11.28
1971,13.22
1972,11.22
1973,12.15
1974,11.82
1975,12.14
1976,11.24
1977,11.68
1978,11.28
1979,11.3
1980,12.05
1981,12.56
1982,11.87
1983,11.96
1984,12.19
1985,12.01
1986,11.62
1987,13.11
1988,13.56
1989,12.96
1990,12.92
1991,12.3
1992,12.02
1993,13.92
1994,12.63
1995,12.73
1996,12.81
1997,12.65
1998,11.58
1999,12.34
2000,13.44
2001,11.35
2002,13.05
2003,12.15
2004,11.54
2005,13.83
2006,14.26
2007,13.12
2008,11.72
2009,12.87
2010,12.36
2011,12.46
2012,12.17
2013,12.42
2014,12.24
2015,12.48
2016,11.64
2017,11.65
2018,13.05
2019,12.44
2021,12.01
2022,11.32
2023,12.36
