date,mean spring Schmidt stability
1958,1926.68
1959,5049.28
1960,5330.39
1961,4952.77
1962,2107.96
1963,3019.43
1964,3232.98
1966,3868.0
1967,2885.69
1969,3260.3
1970,493.35
1971,1227.18
1972,2162.79
1973,1643.77
1974,2075.46
1975,2382.92
1976,1568.91
1977,1462.21
1978,1111.31
1979,1333.02
1980,1826.46
1981,1404.06
1982,1947.06
1983,1638.01
1984,1189.85
1985,1315.0
1986,547.58
1987,1208.42
1988,2839.3
1989,3496.93
1990,3301.65
1991,1724.65
1992,1881.63
1993,2049.32
1994,2752.63
1995,2601.44
1996,1839.78
1997,2906.18
1998,2171.48
1999,2396.02
2000,2186.82
2001,3295.47
2002,2245.49
2003,2838.09
2004,1483.04
2005,2380.87
2006,1469.55
2007,5075.46
2008,2582.62
2009,2588.02
2010,1925.38
2011,3159.19
2012,2679.86
2013,2203.45
2014,2809.94
2015,3493.41
2016,4456.56
2017,3150.06
2018,2948.5
2019,3692.13
2021,3600.84
2022,2960.19
2023,3439.36
