date,mean spring Secchi depth
1958,9.84
1959,8.94
1960,8.37
1961,7.5
1962,9.56
1963,10.02
1964,7.13
1965,9.57
1966,4.02
1967,9.43
1968,8.38
1969,8.85
1970,11.1
1971,6.31
1972,5.93
1973,7.36
1974,5.55
1975,8.02
1976,5.84
1977,7.67
1978,7.82
1979,13.8
1980,6.46
1981,4.41
1982,7.42
1983,7.6
1984,6.14
1985,7.16
1986,8.28
1987,6.71
1988,4.47
1989,5.48
1990,3.68
1991,4.05
1992,4.2
1993,4.25
1994,4.93
1995,4.29
1996,3.53
1997,4.32
1998,5.15
1999,4.6
2000,3.16
2001,4.58
2002,3.13
2003,4.61
2004,5.73
2005,3.11
2006,4.08
2007,4.31
2008,5.62
2009,3.73
2010,3.72
2011,2.69
2012,3.64
2013,3.46
2014,6.04
2015,5.0
2016,5.9
2017,6.35
2018,4.51
2019,5.94
2021,5.18
2023,5.01
