date,mean summer Secchi depth
1957,6.24
1958,7.0
1959,7.42
1960,10.63
1961,9.44
1962,7.34
1963,7.37
1964,8.1
1965,9.5
1966,6.15
1967,7.3
1968,7.77
1969,8.04
1970,6.12
1971,4.87
1972,7.07
1973,6.73
1974,7.69
1975,5.22
1976,3.85
1977,5.85
1978,6.18
1979,4.94
1980,6.22
1981,5.73
1982,4.46
1983,7.01
1984,8.21
1985,5.37
1986,6.11
1987,4.34
1988,6.37
1989,6.8
1990,7.21
1991,6.48
1992,6.89
1993,5.86
1994,4.88
1995,5.9
1996,4.78
1997,6.62
1998,5.97
1999,6.99
2000,4.76
2001,3.88
2002,3.5
2003,4.46
2004,6.94
2005,6.01
2006,5.37
2007,2.65
2008,5.32
2009,5.6
2010,6.61
2011,5.55
2012,2.82
2013,8.22
2014,7.17
2015,8.89
2016,4.68
2017,7.34
2018,5.3
2019,5.71
2020,8.63
2021,5.41
2023,5.87
