date,mean spring bottom temperature
1958,4.9
1959,4.95
1960,5.1
1961,5.2
1962,5.24
1963,4.4
1964,4.6
1966,4.74
1967,5.39
1968,5.0
1969,4.99
1970,5.06
1971,4.78
1972,4.89
1973,4.91
1974,5.1
1975,5.2
1976,5.38
1977,5.51
1978,5.6
1979,5.63
1980,5.71
1981,5.25
1982,5.42
1983,5.5
1984,5.3
1985,5.14
1986,5.09
1987,4.96
1988,5.0
1989,5.0
1990,5.0
1991,5.26
1992,5.35
1993,5.42
1994,5.5
1995,5.61
1996,5.7
1997,5.82
1998,6.38
1999,5.71
2000,5.84
2001,5.85
2002,5.91
2003,5.85
2004,5.91
2005,5.29
2006,5.37
2007,5.4
2008,5.48
2009,5.56
2010,5.53
2011,5.54
2012,5.11
2013,5.2
2014,5.3
2015,5.38
2016,5.48
2017,5.6
2018,5.75
2019,5.85
2021,6.0
2022,6.1
2023,6.22
