date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
1967,176.0
1968,116.0
1969,82.0
1970,309.0
1971,219.0
1972,54.0
1973,215.0
1974,65.0
1975,60.0
1976,169.0
1977,144.0
1978,159.0
1979,211.0
1980,134.0
1981,307.0
1982,71.0
1983,106.0
1984,308.0
1985,309.0
1986,309.0
1987,156.0
1988,121.0
1989,50.0
1990,62.0
1991,154.0
1992,111.0
1993,133.0
1994,104.0
1995,113.0
1996,153.0
1997,83.0
1998,51.0
1999,298.0
2000,157.0
2001,69.0
2002,153.0
2003,209.0
2004,205.0
2005,299.0
2006,309.0
2007,36.0
2008,74.0
2009,179.0
2010,37.0
2011,78.0
2012,181.0
2013,60.0
2014,188.0
2015,108.0
2016,38.0
2017,107.0
2018,103.0
2019,82.0
2020,31.0
2021,41.0
2022,101.0
2023,60.0
