date,mean summer bottom temperature
1957,4.72
1958,4.98
1959,5.09
1960,5.1
1961,5.38
1962,5.59
1963,4.6
1964,4.69
1965,4.56
1966,4.97
1967,4.92
1968,4.96
1969,4.95
1970,5.2
1971,4.82
1972,4.94
1973,5.0
1974,5.09
1975,5.21
1976,5.4
1977,5.59
1978,5.62
1979,5.7
1980,5.87
1981,5.29
1982,5.48
1983,5.6
1984,5.45
1985,5.3
1986,5.02
1987,5.0
1988,5.0
1989,5.0
1990,5.18
1991,5.29
1993,5.44
1994,5.52
1995,5.94
1996,5.74
1997,5.83
1998,5.9
1999,5.74
2000,5.98
2001,5.86
2002,5.96
2003,5.88
2004,5.99
2005,5.41
2006,5.31
2007,6.16
2008,5.58
2009,5.58
2010,5.53
2011,5.55
2012,5.04
2013,5.23
2014,5.31
2015,5.41
2016,5.51
2017,5.61
2018,5.77
2019,5.87
2020,5.94
2021,6.02
2022,6.12
2023,6.25
