date,mean early autumn thermocline depth
1959,15.95
1960,24.62
1962,13.72
1963,18.34
1964,24.17
1965,20.16
1966,14.16
1967,13.68
1968,22.38
1969,16.42
1970,15.38
1971,16.02
1972,22.44
1973,10.35
1974,17.48
1975,16.94
1976,16.0
1977,14.31
1978,14.13
1979,13.35
1980,17.4
1981,16.75
1982,11.72
1983,18.5
1984,17.77
1985,13.09
1986,11.47
1987,13.08
1988,17.61
1989,14.61
1990,12.93
1991,10.6
1992,14.59
1993,18.6
1994,12.33
1995,16.61
1996,19.1
1997,10.63
1998,16.69
1999,15.7
2000,16.39
2001,18.19
2002,14.69
2003,14.55
2004,14.81
2005,15.93
2006,14.05
2007,12.38
2008,13.33
2009,16.73
2010,18.38
2011,18.07
2012,11.71
2013,15.89
2014,13.65
2015,14.82
2016,11.95
2017,18.22
2018,14.42
2019,11.39
2020,15.47
2021,14.16
2022,16.87
2023,11.4
