date,minimum bottom temperature
1970,4.9
1971,4.7
1972,4.8
1973,4.9
1974,5.0
1975,5.1
1976,5.2
1977,5.3
1978,5.6
1979,5.6
1980,5.7
1981,5.21
1982,5.29
1983,5.4
1984,5.3
1985,4.9
1986,4.89
1987,4.9
1988,5.0
1989,5.0
1990,5.0
1991,5.2
1992,5.32
1993,5.4
1994,5.48
1995,5.6
1996,5.66
1997,5.82
1998,5.85
1999,5.67
2000,5.82
2001,5.83
2002,5.88
2003,5.84
2004,5.84
2005,5.26
2006,5.3
2008,5.46
2009,5.53
2010,5.51
2011,5.54
2012,4.96
2013,5.15
2014,5.28
2015,5.35
2016,5.45
2017,5.56
2018,5.7
2019,5.82
2020,5.9
2021,5.97
2022,6.06
2023,6.16
