date,mean late autumn hypolimnetic oxygen concentration
1970,9.04
1971,9.24
1972,8.49
1973,8.57
1974,8.06
1975,7.6
1976,7.19
1977,7.16
1978,7.46
1979,7.93
1980,7.87
1981,8.77
1982,8.69
1983,8.5
1984,8.96
1985,9.17
1986,9.22
1987,8.93
1988,8.77
1989,7.79
1990,7.85
1991,8.03
1992,7.74
1993,7.15
1994,7.56
1995,7.42
1996,7.98
1997,7.55
1998,7.51
1999,8.04
2000,8.51
2001,7.98
2002,7.84
2003,7.81
2004,8.44
2005,8.85
2006,9.32
2007,8.28
2008,8.0
2009,8.48
2010,8.62
2011,8.12
2012,8.51
2013,8.62
2014,6.82
2015,7.55
2016,7.32
2017,7.5
2018,7.35
2019,7.63
2020,7.31
2021,7.1
2022,7.24
2023,7.03
