date,mean autumn bottom oxygen concentration
1957,6.6
1958,4.32
1959,4.25
1960,4.04
1962,5.16
1963,8.13
1964,6.66
1966,4.55
1967,4.44
1968,2.8
1969,2.6
1970,6.35
1971,5.35
1972,3.57
1973,2.73
1974,1.75
1975,0.96
1976,0.36
1977,1.68
1978,0.49
1979,4.3
1980,4.56
1981,6.56
1982,4.8
1983,4.83
1984,5.9
1985,6.96
1986,5.88
1987,5.0
1988,3.8
1989,3.42
1990,2.65
1991,2.43
1992,1.89
1993,1.07
1994,1.48
1995,1.02
1996,1.16
1997,1.64
1998,1.49
1999,4.24
2000,4.38
2001,4.6
2002,2.67
2003,4.35
2004,3.71
2005,6.17
2006,6.69
2007,4.26
2008,3.74
2009,3.84
2010,4.26
2011,3.1
2012,6.98
2013,5.11
2014,3.74
2015,3.44
2016,2.46
2017,2.04
2018,2.6
2019,2.79
2020,2.46
2021,2.26
2022,1.79
2023,1.9
