date,mean early autumn hypolimnetic oxygen concentration
1959,8.87
1960,8.69
1962,10.1
1963,9.93
1964,9.87
1965,10.15
1966,9.42
1967,9.02
1968,8.54
1969,8.15
1970,9.35
1971,9.15
1972,8.51
1973,8.83
1974,8.27
1975,8.12
1976,7.3
1977,7.17
1978,7.89
1979,8.73
1980,8.22
1981,9.06
1982,8.79
1983,8.64
1984,9.17
1985,9.49
1986,9.64
1987,9.17
1988,8.59
1989,8.09
1990,7.65
1991,7.94
1992,8.1
1993,7.75
1994,7.88
1995,7.51
1996,7.85
1997,7.56
1998,7.56
1999,8.11
2000,8.65
2001,8.08
2002,8.11
2003,8.29
2004,8.77
2005,8.93
2006,9.42
2007,8.34
2008,8.5
2009,8.88
2010,8.43
2011,8.62
2012,8.83
2013,8.61
2014,7.83
2015,8.29
2016,7.58
2017,7.64
2018,8.46
2019,7.94
2020,7.45
2021,7.48
2022,7.37
2023,7.42
