date,mean summer Schmidt stability
1957,22540.26
1958,21231.05
1959,18298.84
1960,25888.58
1961,22358.37
1962,17494.92
1963,22078.28
1964,26549.26
1965,21776.64
1966,27357.16
1967,24454.33
1968,25508.4
1969,17545.2
1970,16319.88
1971,15877.04
1972,20689.38
1973,26223.85
1974,22354.55
1975,23090.77
1976,28206.28
1977,18025.05
1978,16156.7
1979,13374.5
1980,21606.82
1981,18117.58
1982,19991.87
1983,20900.26
1984,18729.6
1985,19336.21
1986,15570.13
1987,16538.79
1988,24454.46
1989,22329.32
1990,22168.2
1991,20276.44
1993,24880.39
1994,19884.82
1995,22578.74
1996,20324.19
1997,17599.11
1998,28179.21
1999,19321.74
2000,23049.36
2001,22040.19
2002,24077.5
2003,22661.79
2004,25075.0
2005,23135.71
2006,14466.92
2007,25563.74
2008,21666.09
2009,27807.84
2010,21611.78
2011,23361.12
2012,24994.28
2013,18064.62
2014,27793.17
2015,29373.25
2016,24041.48
2017,29313.62
2018,22029.53
2019,21879.03
2020,29589.77
2021,21230.43
2022,29018.56
2023,31578.84
