date,mean winter Schmidt stability
1970,216.12
1971,211.33
1972,1377.72
1973,1103.0
1974,933.38
1975,2214.8
1976,1812.99
1977,602.19
1978,835.81
1979,254.81
1980,1338.87
1981,-0.1
1982,914.56
1983,2138.88
1985,269.61
1986,578.93
1987,306.09
1988,2544.03
1989,1812.15
1990,2283.67
1991,1338.68
1992,1127.55
1994,1124.36
1995,1793.13
1996,1836.08
1997,291.39
2000,845.01
2001,1924.76
2002,501.56
2003,1156.89
2005,1601.05
2006,585.91
2007,3513.71
2008,1832.66
2009,706.72
2010,998.8
2011,1102.77
2012,2301.68
2013,2054.12
2014,2493.5
2015,3502.82
2016,3706.65
2017,959.77
2018,1653.24
2019,2460.37
2020,3502.63
2021,2055.69
2022,2117.02
