date,depth,salinity [g kg-1]
16.05.2000 12:00,15,0.258
16.05.2000 12:00,20,0.268
16.05.2000 12:00,25,0.266
16.05.2000 12:00,30,0.26
16.05.2000 12:00,40,0.26
16.05.2000 12:00,100,0.261
16.05.2000 12:00,140,0.254
16.05.2000 12:00,152,0.265
19.06.2000 12:00,0,0.234
19.06.2000 12:00,5,0.236
19.06.2000 12:00,10,0.269
19.06.2000 12:00,15,0.252
19.06.2000 12:00,20,0.258
19.06.2000 12:00,25,0.259
19.06.2000 12:00,30,0.26
19.06.2000 12:00,40,0.262
19.06.2000 12:00,100,0.26
19.06.2000 12:00,152,0.262
17.07.2000 12:00,0,0.242
17.07.2000 12:00,5,0.243
17.07.2000 12:00,10,0.245
17.07.2000 12:00,15,0.265
17.07.2000 12:00,20,0.265
17.07.2000 12:00,25,0.271
17.07.2000 12:00,30,0.265
17.07.2000 12:00,40,0.263
17.07.2000 12:00,100,0.262
17.07.2000 12:00,140,0.256
17.07.2000 12:00,152,0.26
14.08.2000 12:00,0,0.225
14.08.2000 12:00,5,0.224
14.08.2000 12:00,10,0.228
14.08.2000 12:00,15,0.246
14.08.2000 12:00,20,0.257
14.08.2000 12:00,25,0.26
14.08.2000 12:00,30,0.264
14.08.2000 12:00,40,0.265
14.08.2000 12:00,100,0.264
14.08.2000 12:00,140,0.265
14.08.2000 12:00,152,0.265
12.09.2000 12:00,0,0.23
12.09.2000 12:00,5,0.208
12.09.2000 12:00,10,0.217
12.09.2000 12:00,15,0.244
12.09.2000 12:00,20,0.253
12.09.2000 12:00,25,0.265
12.09.2000 12:00,30,0.268
12.09.2000 12:00,40,0.268
12.09.2000 12:00,100,0.266
12.09.2000 12:00,140,0.267
12.09.2000 12:00,152,0.26
12.10.2000 12:00,0,0.23
12.10.2000 12:00,5,0.231
12.10.2000 12:00,10,0.232
12.10.2000 12:00,15,0.237
12.10.2000 12:00,20,0.258
12.10.2000 12:00,25,0.243
12.10.2000 12:00,30,0.26
12.10.2000 12:00,40,0.26
12.10.2000 12:00,100,0.26
12.10.2000 12:00,140,0.263
12.10.2000 12:00,152,0.261
10.11.2000 12:00,0,0.248
10.11.2000 12:00,5,0.242
10.11.2000 12:00,10,0.243
10.11.2000 12:00,15,0.242
10.11.2000 12:00,20,0.241
10.11.2000 12:00,25,0.241
10.11.2000 12:00,30,0.242
10.11.2000 12:00,40,0.257
10.11.2000 12:00,100,0.265
10.11.2000 12:00,152,0.267
04.12.2000 12:00,0,0.252
04.12.2000 12:00,5,0.251
04.12.2000 12:00,10,0.252
04.12.2000 12:00,15,0.252
04.12.2000 12:00,20,0.252
04.12.2000 12:00,25,0.253
04.12.2000 12:00,30,0.258
04.12.2000 12:00,40,0.265
04.12.2000 12:00,100,0.269
04.12.2000 12:00,140,0.273
04.12.2000 12:00,152,0.272
16.01.2001 12:00,0,0.247
16.01.2001 12:00,5,0.252
16.01.2001 12:00,10,0.247
16.01.2001 12:00,15,0.242
16.01.2001 12:00,20,0.252
16.01.2001 12:00,25,0.252
16.01.2001 12:00,30,0.253
16.01.2001 12:00,40,0.254
16.01.2001 12:00,100,0.256
16.01.2001 12:00,140,0.259
16.01.2001 12:00,152,0.26
19.02.2001 12:00,0,0.26
19.02.2001 12:00,5,0.258
19.02.2001 12:00,10,0.259
19.02.2001 12:00,15,0.262
19.02.2001 12:00,20,0.262
19.02.2001 12:00,25,0.262
19.02.2001 12:00,30,0.261
19.02.2001 12:00,40,0.262
19.02.2001 12:00,100,0.261
19.02.2001 12:00,140,0.26
19.02.2001 12:00,152,0.26
16.03.2001 12:00,0,0.253
16.03.2001 12:00,5,0.253
16.03.2001 12:00,10,0.255
16.03.2001 12:00,15,0.256
16.03.2001 12:00,20,0.256
16.03.2001 12:00,25,0.256
16.03.2001 12:00,30,0.258
16.03.2001 12:00,40,0.256
16.03.2001 12:00,100,0.258
16.03.2001 12:00,140,0.258
16.03.2001 12:00,152,0.257
24.04.2001 12:00,0,0.265
24.04.2001 12:00,5,0.269
24.04.2001 12:00,10,0.265
24.04.2001 12:00,15,0.262
24.04.2001 12:00,20,0.266
24.04.2001 12:00,25,0.265
24.04.2001 12:00,30,0.265
24.04.2001 12:00,40,0.265
24.04.2001 12:00,100,0.265
24.04.2001 12:00,140,0.265
24.04.2001 12:00,152,0.265
28.05.2001 12:00,0,0.27
28.05.2001 12:00,5,0.269
28.05.2001 12:00,10,0.271
28.05.2001 12:00,15,0.271
28.05.2001 12:00,20,0.27
28.05.2001 12:00,25,0.268
28.05.2001 12:00,30,0.269
28.05.2001 12:00,40,0.273
28.05.2001 12:00,100,0.269
28.05.2001 12:00,140,0.272
28.05.2001 12:00,152,0.27
27.06.2001 12:00,0,0.239
27.06.2001 12:00,5,0.236
27.06.2001 12:00,10,0.254
27.06.2001 12:00,15,0.263
27.06.2001 12:00,20,0.265
27.06.2001 12:00,25,0.266
27.06.2001 12:00,30,0.266
27.06.2001 12:00,40,0.266
27.06.2001 12:00,100,0.266
27.06.2001 12:00,140,0.268
27.06.2001 12:00,152,0.269
26.07.2001 12:00,0,0.232
26.07.2001 12:00,5,0.233
26.07.2001 12:00,10,0.234
26.07.2001 12:00,15,0.25
26.07.2001 12:00,20,0.263
26.07.2001 12:00,25,0.266
26.07.2001 12:00,30,0.267
26.07.2001 12:00,40,0.267
26.07.2001 12:00,100,0.267
26.07.2001 12:00,140,0.269
26.07.2001 12:00,152,0.28
20.08.2001 12:00,0,0.219
20.08.2001 12:00,5,0.221
20.08.2001 12:00,10,0.243
20.08.2001 12:00,15,0.256
20.08.2001 12:00,20,0.259
20.08.2001 12:00,25,0.268
20.08.2001 12:00,30,0.269
20.08.2001 12:00,40,0.262
20.08.2001 12:00,100,0.267
20.08.2001 12:00,140,0.269
20.08.2001 12:00,152,0.269
24.09.2001 12:00,0,0.23
24.09.2001 12:00,5,0.23
24.09.2001 12:00,10,0.231
24.09.2001 12:00,15,0.233
24.09.2001 12:00,20,0.256
24.09.2001 12:00,25,0.263
24.09.2001 12:00,30,0.265
24.09.2001 12:00,40,0.266
24.09.2001 12:00,100,0.268
24.09.2001 12:00,140,0.269
24.09.2001 12:00,152,0.269
23.10.2001 12:00,0,0.237
23.10.2001 12:00,5,0.237
23.10.2001 12:00,10,0.241
23.10.2001 12:00,15,0.249
23.10.2001 12:00,20,0.253
23.10.2001 12:00,25,0.256
23.10.2001 12:00,30,0.259
23.10.2001 12:00,40,0.269
23.10.2001 12:00,100,0.269
23.10.2001 12:00,140,0.271
23.10.2001 12:00,152,0.272
22.11.2001 12:00,0,0.252
22.11.2001 12:00,5,0.252
22.11.2001 12:00,10,0.252
22.11.2001 12:00,15,0.252
22.11.2001 12:00,20,0.252
22.11.2001 12:00,25,0.252
22.11.2001 12:00,30,0.253
22.11.2001 12:00,40,0.256
22.11.2001 12:00,100,0.269
22.11.2001 12:00,140,0.269
22.11.2001 12:00,152,0.269
19.12.2001 12:00,0,0.26
19.12.2001 12:00,5,0.26
19.12.2001 12:00,10,0.26
19.12.2001 12:00,15,0.26
19.12.2001 12:00,20,0.26
19.12.2001 12:00,25,0.26
19.12.2001 12:00,30,0.26
19.12.2001 12:00,40,0.26
19.12.2001 12:00,100,0.26
19.12.2001 12:00,152,0.261
17.01.2002 12:00,0,0.262
17.01.2002 12:00,5,0.262
17.01.2002 12:00,10,0.262
17.01.2002 12:00,15,0.262
17.01.2002 12:00,20,0.262
17.01.2002 12:00,25,0.262
17.01.2002 12:00,30,0.262
17.01.2002 12:00,40,0.263
17.01.2002 12:00,100,0.263
17.01.2002 12:00,140,0.265
17.01.2002 12:00,152,0.265
14.02.2002 12:00,0,0.263
14.02.2002 12:00,5,0.263
14.02.2002 12:00,10,0.263
14.02.2002 12:00,15,0.263
14.02.2002 12:00,20,0.263
14.02.2002 12:00,25,0.263
14.02.2002 12:00,30,0.263
14.02.2002 12:00,40,0.264
14.02.2002 12:00,100,0.264
14.02.2002 12:00,140,0.264
28.03.2002 12:00,0,0.264
28.03.2002 12:00,5,0.264
28.03.2002 12:00,10,0.264
28.03.2002 12:00,15,0.264
28.03.2002 12:00,20,0.264
28.03.2002 12:00,25,0.264
28.03.2002 12:00,30,0.264
28.03.2002 12:00,40,0.264
28.03.2002 12:00,100,0.264
18.04.2002 12:00,0,0.261
18.04.2002 12:00,5,0.261
18.04.2002 12:00,10,0.263
18.04.2002 12:00,15,0.263
18.04.2002 12:00,20,0.263
18.04.2002 12:00,25,0.263
18.04.2002 12:00,30,0.264
18.04.2002 12:00,40,0.264
18.04.2002 12:00,100,0.265
18.04.2002 12:00,140,0.265
16.05.2002 12:00,0,0.257
16.05.2002 12:00,5,0.258
16.05.2002 12:00,10,0.259
16.05.2002 12:00,15,0.26
16.05.2002 12:00,20,0.262
16.05.2002 12:00,25,0.262
16.05.2002 12:00,30,0.263
16.05.2002 12:00,40,0.264
16.05.2002 12:00,100,0.265
16.05.2002 12:00,140,0.265
16.05.2002 12:00,152,0.265
19.06.2002 12:00,0,0.251
19.06.2002 12:00,5,0.25
19.06.2002 12:00,10,0.251
19.06.2002 12:00,15,0.259
19.06.2002 12:00,20,0.262
19.06.2002 12:00,25,0.263
19.06.2002 12:00,30,0.264
19.06.2002 12:00,40,0.264
19.06.2002 12:00,100,0.265
19.06.2002 12:00,140,0.266
