date,mean winter bottom oxygen concentration
1996,8.1
1997,8.2
1998,8.1
1999,8.02
2000,9.33
2001,8.48
2002,8.06
2003,8.02
2004,7.93
2005,8.44
2006,9.56
2007,8.74
2008,8.41
2009,6.96
2010,7.9
2011,8.61
2012,8.74
2013,8.62
2015,8.09
2016,7.56
2017,7.35
2018,7.52
2019,8.16
2020,7.81
2021,7.66
2022,7.99
2023,7.59
