date,mean annual bottom conductivity
2000,299.76
2001,301.15
2002,300.88
2003,301.02
2004,299.66
2005,294.86
2006,298.35
2007,301.4
2008,305.01
2009,305.44
2010,302.55
2011,304.23
2012,303.92
2013,306.39
2014,307.99
2015,308.93
2016,310.9
2017,312.0
2018,308.54
2019,309.61
2020,309.75
2021,307.05
2022,309.5
2023,312.46
