date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
2000,104.0
2001,41.0
2002,88.0
2003,188.0
2004,78.0
2005,212.0
2006,212.0
2007,42.0
2008,84.0
2009,172.0
2010,169.0
2011,55.0
2012,176.0
2013,80.0
2014,54.0
2015,82.0
2016,44.0
2017,53.0
2018,51.0
2019,54.0
2020,52.0
2021,54.0
2022,76.0
2023,48.0
