date,mean winter surface temperature
1996,5.71
1997,5.32
1998,5.95
1999,5.27
2000,5.38
2001,6.24
2002,5.42
2003,5.8
2004,5.77
2005,5.77
2006,5.28
2007,6.4
2008,5.76
2009,5.23
2010,5.46
2011,5.18
2012,5.39
2013,5.52
2014,5.69
2015,6.44
2016,6.74
2017,5.88
2018,5.86
2019,6.09
2020,6.66
2021,6.05
2022,6.44
2023,6.56
