date,minimum Secchi depth
1997,5.5
1998,3.7
1999,2.5
2000,4.7
2001,5.2
2002,4.9
2003,5.0
2004,3.2
2005,3.1
2006,3.5
2007,3.5
2008,4.5
2009,3.5
2010,2.9
2011,5.4
2012,3.6
2013,3.9
2014,5.5
2015,4.5
2016,4.7
2017,5.0
2018,4.6
2019,4.0
2020,5.2
2021,3.2
2022,7.0
2023,3.8
