date,mean spring Secchi depth
1996,7.61
1997,9.99
1998,9.41
1999,5.89
2000,8.75
2001,8.4
2002,8.6
2003,9.13
2004,7.59
2005,6.03
2006,5.06
2007,8.46
2008,8.53
2009,10.21
2010,9.58
2011,8.73
2012,6.44
2013,10.75
2014,9.49
2015,8.31
2016,9.91
2017,8.44
2018,7.38
2019,9.96
2021,9.2
2022,9.71
2023,8.06
