date,mean annual surface temperature
1996,11.9
1997,11.83
1998,11.71
1999,11.11
2000,11.82
2001,11.62
2002,11.63
2003,12.62
2004,11.59
2005,11.21
2006,11.65
2007,11.94
2008,11.82
2009,12.09
2010,11.07
2011,12.43
2012,11.92
2013,11.66
2014,12.66
2015,12.39
2016,12.06
2017,12.45
2018,12.91
2019,11.65
2020,12.64
2021,11.87
2022,13.32
2023,13.32
