date,minimum surface temperature
1996,5.19
1997,5.31
1998,5.56
1999,4.83
2000,5.12
2001,5.72
2002,5.36
2003,5.36
2004,5.19
2005,5.04
2006,4.93
2007,5.73
2008,5.4
2009,5.04
2010,4.82
2011,4.81
2012,4.82
2013,4.82
2014,5.34
2015,5.63
2016,6.01
2017,5.4
2018,5.56
2019,5.46
2020,6.12
2021,5.74
2022,5.88
2023,5.96
