date,mean winter Schmidt stability
1996,369.03
1997,54.79
1998,592.12
1999,-46.68
2000,166.04
2001,995.06
2002,61.79
2003,364.6
2004,350.87
2005,476.13
2006,-45.96
2007,1337.26
2008,505.87
2009,-64.21
2010,276.95
2011,151.68
2012,274.4
2013,499.67
2014,594.59
2015,1248.43
2016,1527.69
2017,415.05
2018,371.3
2019,657.49
2020,1336.73
2021,461.51
2022,904.66
2023,943.32
