date,minimum bottom temperature
1996,5.25
1997,5.21
1998,5.35
1999,4.78
2000,5.14
2001,5.23
2002,5.34
2003,5.3
2004,5.2
2005,4.83
2006,4.77
2007,4.99
2008,5.2
2009,5.15
2010,4.91
2011,4.97
2012,4.83
2013,4.92
2014,5.03
2015,5.18
2016,5.4
2017,5.54
2018,5.35
2019,5.44
2020,5.49
2021,5.65
2022,5.74
2023,5.84
