date,mean spring epilimnion 5-10 m oxygen concentration
1996,11.66
1997,12.08
1998,11.64
1999,11.72
2000,12.06
2001,11.78
2002,12.04
2003,11.51
2004,11.19
2005,11.03
2006,11.53
2007,11.24
2008,11.57
2009,11.24
2010,10.61
2011,11.52
2012,10.78
2013,11.3
2014,11.25
2015,11.31
2016,11.34
2017,11.62
2018,10.8
2019,11.36
2020,11.4
2021,11.32
2022,11.51
2023,11.58
