date,mean early autumn thermocline depth
1996,20.64
1997,13.81
1998,18.11
1999,14.72
2000,19.15
2001,21.81
2002,17.05
2003,21.56
2004,13.01
2005,12.34
2006,19.42
2007,9.46
2008,21.12
2009,21.63
2010,25.63
2011,17.51
2012,18.53
2013,19.07
2014,15.56
2015,20.6
2016,18.88
2017,26.54
2018,19.88
2019,23.68
2020,21.46
2021,16.21
2022,17.22
2023,13.65
