date,mean annual surface conductivity
2000,238.37
2001,239.18
2002,245.67
2003,236.86
2004,244.1
2005,248.31
2006,249.61
2007,246.68
2008,246.02
2009,245.5
2010,252.82
2011,246.0
2012,245.81
2013,249.39
2014,251.63
2015,246.1
2016,249.99
2017,251.64
2018,242.41
2019,249.72
2020,248.68
2021,259.04
2022,249.57
2023,249.95
