date,mean winter Secchi depth
1997,13.08
1999,15.7
2000,11.72
2001,13.27
2002,13.09
2003,10.22
2004,10.39
2005,15.05
2006,10.66
2007,9.94
2008,13.38
2009,11.59
2010,9.94
2011,12.33
2012,9.14
2013,11.01
2014,13.66
2015,9.52
2016,10.16
2017,13.73
2018,5.16
2019,6.21
2020,12.09
2021,10.87
2023,6.67
