date,mean late autumn bottom oxygen concentration
1996,7.84
1997,8.54
1998,7.67
1999,8.92
2000,9.02
2001,7.84
2002,7.99
2003,8.07
2004,8.48
2005,9.39
2006,9.35
2007,8.4
2008,6.91
2009,7.88
2010,8.35
2011,8.96
2012,8.67
2013,8.79
2014,8.1
2015,7.6
2016,7.14
2017,6.5
2018,8.33
2019,7.96
2020,7.34
2021,8.39
2022,7.45
2023,7.05
