date,minimum bottom oxygen concentration
1996,7.75
1997,7.91
1998,7.37
1999,7.41
2000,8.8
2001,7.81
2002,7.51
2003,7.91
2004,7.85
2005,8.39
2006,9.23
2007,8.13
2008,6.85
2009,6.78
2010,7.72
2011,7.92
2012,8.44
2013,8.48
2015,7.57
2016,6.84
2017,6.39
2018,7.47
2019,7.75
2020,7.17
2021,7.17
2022,7.4
2023,6.82
