date,mean spring bottom temperature
1996,5.27
1997,5.25
1998,5.35
1999,4.94
2000,5.15
2001,5.25
2002,5.36
2003,5.32
2004,5.26
2005,4.87
2006,4.83
2007,5.0
2008,5.25
2009,5.15
2010,4.92
2011,4.98
2012,4.87
2013,4.93
2014,5.05
2015,5.25
2016,5.44
2017,5.56
2018,5.39
2019,5.45
2020,5.53
2021,5.68
2022,5.76
2023,5.86
