date,mean annual hypolimnetic density
2000,1000.1458
2001,1000.1407
2002,1000.1417
2003,1000.1449
2004,1000.1446
2005,1000.1467
2006,1000.1525
2007,1000.1456
2008,1000.1453
2009,1000.1506
2010,1000.1536
2011,1000.1559
2012,1000.155
2013,1000.1556
2014,1000.1505
2015,1000.1462
2016,1000.1422
2017,1000.1447
2018,1000.1485
2019,1000.1439
2020,1000.14
2021,1000.135
2022,1000.1381
2023,1000.1352
