date,mean early autumn hypolimnetic oxygen concentration
1996,9.86
1997,9.46
1998,9.44
1999,10.06
2000,10.24
2001,9.54
2002,9.48
2003,9.64
2004,9.55
2005,9.93
2006,10.34
2007,9.78
2008,9.25
2009,8.7
2010,9.51
2011,9.47
2012,9.28
2013,9.77
2014,9.17
2015,9.13
2016,8.73
2017,8.7
2019,9.22
2020,8.97
2021,9.53
2022,9.63
2023,9.01
