date,mean summer bottom temperature
1996,5.29
1997,5.31
1998,5.37
1999,5.1
2000,5.21
2001,5.28
2002,5.38
2003,5.35
2004,5.29
2005,4.95
2006,4.94
2007,5.03
2008,5.29
2009,5.16
2010,4.98
2011,5.02
2012,4.91
2013,4.99
2014,5.09
2015,5.3
2016,5.56
2017,5.57
2018,5.41
2019,5.46
2020,5.56
2021,5.72
2022,5.81
2023,5.87
