date,mean annual Secchi depth
1997,9.72
1998,6.97
1999,7.53
2000,8.84
2001,9.2
2002,8.04
2003,8.58
2004,7.84
2005,8.44
2006,7.05
2007,7.81
2008,9.14
2009,8.41
2010,8.08
2011,8.83
2012,7.3
2013,8.97
2014,9.15
2015,8.67
2016,8.68
2017,9.13
2018,7.11
2019,8.18
2020,8.03
2021,8.6
2022,9.35
2023,8.21
