date,mean summer surface temperature
1996,18.08
1997,15.89
1998,18.4
1999,17.09
2000,16.36
2001,17.58
2002,17.11
2003,19.4
2004,17.83
2005,16.95
2006,17.55
2007,16.4
2008,18.35
2009,17.09
2010,18.84
2011,18.36
2012,17.41
2013,18.79
2014,17.76
2015,20.28
2016,17.58
2017,18.07
2018,19.87
2019,17.13
2020,19.39
2021,15.25
2022,20.59
2023,20.26
