date,mean annual bottom temperature
1996,5.3
1997,5.3
1998,5.37
1999,5.06
2000,5.19
2001,5.28
2002,5.38
2003,5.37
2004,5.3
2005,5.14
2006,4.96
2007,5.07
2008,5.28
2009,5.2
2010,5.0
2011,5.02
2012,4.92
2013,4.98
2014,5.09
2015,5.3
2016,5.49
2017,5.57
2018,5.43
2019,5.46
2020,5.57
2021,5.7
2022,5.79
2023,5.87
