date,mean spring surface oxygen concentration
1996,9.6
1997,11.97
1998,11.44
1999,11.65
2000,11.96
2001,11.77
2002,11.9
2003,11.42
2004,11.17
2005,10.94
2006,11.46
2007,11.08
2008,11.48
2009,11.01
2010,10.59
2011,10.97
2012,10.52
2013,11.19
2014,11.04
2015,11.26
2016,11.06
2017,11.19
2018,10.86
2019,11.32
2020,10.88
2021,11.31
2022,11.33
2023,11.36
