date,mean late autumn hypolimnetic oxygen concentration
1996,9.55
1997,9.34
1998,9.34
1999,9.86
2000,9.97
2001,9.26
2002,9.17
2003,9.18
2004,9.41
2005,9.74
2006,10.12
2007,9.47
2008,9.0
2009,8.95
2010,9.26
2011,9.21
2012,9.47
2013,9.57
2014,9.05
2015,8.9
2016,8.67
2017,8.42
2018,9.22
2019,9.1
2020,8.71
2021,9.36
2022,9.14
2023,8.86
