date,mean summer bottom oxygen concentration
1996,9.06
1997,8.98
1998,7.93
1999,9.93
2000,9.77
2001,8.54
2002,8.2
2003,9.54
2004,9.16
2005,9.68
2006,10.22
2007,9.07
2008,7.86
2009,8.49
2010,8.87
2011,8.53
2012,9.07
2013,9.41
2014,8.62
2015,8.03
2016,7.53
2017,7.33
2018,8.9
2019,7.89
2020,7.73
2021,8.82
2022,8.36
2023,7.57
