date,mean winter hypolimnetic density
2000,1000.1462
2001,1000.1438
2002,1000.145
2003,1000.141
2004,1000.1451
2005,1000.1433
2006,1000.1456
2007,1000.1484
2008,1000.1455
2009,1000.1496
2010,1000.1513
2011,1000.1544
2012,1000.1512
2013,1000.1528
2014,1000.1538
2015,1000.1462
2016,1000.1409
2017,1000.1452
2018,1000.1425
2019,1000.148
2020,1000.142
2021,1000.1378
2022,1000.1349
2023,1000.1355
