date,mean summer surface oxygen concentration
1996,10.38
1997,10.14
1998,9.56
1999,9.8
2000,10.3
2001,9.91
2002,10.08
2003,9.59
2004,9.66
2005,9.41
2006,9.73
2007,9.93
2008,9.61
2009,9.37
2010,9.44
2011,9.69
2012,9.14
2013,9.5
2014,9.62
2015,9.37
2016,9.86
2017,9.13
2018,9.22
2019,9.57
2020,9.28
2021,10.12
2022,9.23
2023,9.3
