date,mean spring bottom oxygen concentration
1996,9.33
1997,9.32
1998,8.23
1999,10.42
2000,10.08
2001,8.72
2002,8.72
2003,10.17
2004,9.64
2005,10.12
2006,10.79
2007,8.96
2008,8.48
2009,9.51
2010,9.18
2011,9.26
2012,9.64
2013,9.65
2014,8.62
2015,8.52
2016,7.81
2017,7.62
2018,9.94
2019,8.51
2020,8.0
2021,8.46
2022,8.3
2023,7.88
