date,delta_2h,delta_18o
2007-01-15,-75.08,-10.29
2007-02-15,-94.78,-13.01
2007-03-15,-99.07,-13.32
2007-04-15,-50.11,-8.11
2007-05-15,-80.5,-11.08
2007-06-15,-64.83,-9.01
2007-07-15,-52.74,-7.95
2007-08-15,-67.3,-9.73
2007-09-15,-53.0,-8.06
2007-10-15,-59.98,-8.83
2007-11-15,-79.62,-11.1
2007-12-15,-80.12,-11.32
2008-01-15,-100.87,-13.11
2008-02-15,-95.09,-12.77
2008-03-15,-89.62,-12.21
2008-04-15,-85.87,-11.83
2008-05-15,-60.05,-8.21
2008-06-15,-60.74,-8.65
2008-07-15,-54.14,-7.86
2008-08-15,-41.24,-6.57
2008-09-15,-68.56,-9.7
2008-10-15,-94.34,-12.97
2008-11-15,-88.37,-12.28
2008-12-15,-119.34,-16.12
2009-01-15,-101.87,-13.39
2009-02-15,-123.56,-16.4
2009-03-15,-98.93,-13.39
2009-04-15,-87.72,-11.76
2009-05-15,-50.32,-7.72
2009-06-15,-42.25,-6.21
2009-07-15,-36.33,-5.79
2009-08-15,-38.24,-6.04
2009-09-15,-35.6,-5.84
2009-10-15,-62.01,-9.12
2009-11-15,-104.18,-14.44
2009-12-15,-113.08,-15.59
2010-01-15,-125.0,-16.73
2010-02-15,-120.09,-15.99
2010-03-15,-95.11,-12.82
2010-04-15,-89.02,-12.12
2010-05-15,-74.29,-10.34
2010-06-15,-61.65,-8.98
2010-07-15,-43.36,-6.89
2010-08-15,-63.25,-9.11
2010-09-15,-61.8,-9.01
2010-10-15,-96.64,-13.55
2010-11-15,-127.05,-16.87
2010-12-15,-115.24,-15.7
2011-01-15,-99.24,-12.76
2011-02-15,-115.11,-15.2
2011-03-15,-80.68,-10.79
2011-04-15,-55.51,-7.8
2011-05-15,-45.28,-6.94
2011-06-15,-45.66,-6.78
2011-07-15,-50.52,-7.68
2011-08-15,-41.28,-6.31
2011-09-15,-49.93,-7.58
2011-10-15,-59.9,-8.68
2011-11-15,-66.66,-8.79
2011-12-15,-90.17,-12.53
2012-01-15,-94.78,-12.68
2012-02-15,-121.46,-15.7
2012-03-15,-87.18,-12.24
2012-04-15,-87.81,-11.72
2012-05-15,-65.31,-9.14
2012-06-15,-49.53,-7.16
2012-07-15,-33.34,-5.46
2012-08-15,-33.17,-5.51
2012-09-15,-58.73,-8.93
2012-10-15,-94.61,-12.94
2012-11-15,-118.5,-15.96
2012-12-15,-106.19,-14.35
2013-01-15,-117.17,-15.61
2013-02-15,-118.81,-15.95
2013-03-15,-123.75,-16.58
2013-04-15,-81.17,-11.29
2013-05-15,-81.64,-11.32
2013-06-15,-68.59,-9.39
2013-07-15,-60.46,-8.37
2013-08-15,-41.51,-6.67
2013-09-15,-47.95,-7.4
2013-10-15,-71.22,-10.07
2013-11-15,-115.28,-15.51
2013-12-15,-162.2,-21.04
2014-01-15,-121.69,-16.0
2014-02-15,-110.09,-14.6
2014-03-15,-104.42,-14.06
2014-04-15,-94.88,-13.46
2014-05-15,-67.99,-9.52
2014-06-15,-35.85,-5.68
2014-07-15,-65.34,-9.54
2014-08-15,-48.23,-7.23
2014-09-15,-52.28,-7.71
2014-10-15,-44.57,-7.09
2014-11-15,-143.03,-19.02
2014-12-15,-118.4,-15.61
2015-01-15,-109.3,-14.65
2015-02-15,-132.21,-17.18
2015-03-15,-92.78,-11.81
2015-04-15,-83.13,-11.01
2015-05-15,-52.87,-7.38
2015-06-15,-40.21,-6.11
2015-07-15,-35.0,-4.94
2015-08-15,-45.87,-6.82
2015-09-15,-60.94,-8.9
2015-10-15,-82.5,-11.59
2015-11-15,-108.42,-14.47
2015-12-15,-71.78,-10.19
2016-01-15,-103.15,-13.89
2016-02-15,-96.81,-12.94
2016-03-15,-102.07,-13.59
2016-04-15,-69.74,-9.96
2016-05-15,-81.94,-11.55
2016-06-15,-68.38,-9.54
2016-07-15,-35.29,-5.82
2016-08-15,-33.93,-5.44
2016-09-15,-62.33,-9.06
2016-10-15,-70.71,-10.18
2016-11-15,-94.62,-13.22
2016-12-15,-92.01,-13.91
2017-01-15,-95.68,-13.26
2017-02-15,-101.84,-13.98
2017-03-15,-83.52,-11.6
2017-04-15,-74.95,-11.31
2017-05-15,-74.15,-10.21
2017-06-15,-42.82,-6.42
2017-07-15,-43.1,-6.33
2017-08-15,-46.69,-7.31
2017-09-15,-61.56,-9.06
2017-10-15,-40.74,-6.38
2017-11-15,-105.61,-14.12
2017-12-15,-107.41,-14.45
2018-01-15,-78.92,-10.4
2018-02-15,-105.03,-13.88
2018-03-15,-98.64,-13.44
2018-04-15,-67.86,-9.36
2018-05-15,-47.33,-8.17
2018-06-15,-62.52,-9.4
2018-07-15,-38.18,-6.03
2018-08-15,-38.93,-6.06
2018-09-15,-35.85,-6.05
2018-10-15,-94.24,-13.29
2018-11-15,-80.8,-12.14
2018-12-15,-77.59,-10.82
2019-01-15,-97.4,-13.44
2019-02-15,-126.7,-16.96
2019-03-15,-63.36,-9.1
2019-04-15,-96.49,-13.47
2019-05-15,-79.65,-10.97
2019-06-15,-38.42,-6.41
2019-07-15,-37.38,-6.08
2019-08-15,-37.13,-6.02
2019-09-15,-43.66,-6.91
2019-10-15,-57.94,-8.6
2019-11-15,-121.0,-15.63
2019-12-15,-111.02,-14.67
2020-01-15,-87.9,-12.37
2020-02-15,-70.16,-9.97
2020-03-15,-81.75,-11.27
2020-04-15,-75.26,-10.2
2020-05-15,-51.26,-7.34
2020-06-15,-55.07,-8.25
2020-07-15,-27.8,-4.93
2020-08-15,-54.25,-8.27
2020-09-15,-62.43,-9.26
2020-10-15,-84.56,-11.78
2020-11-15,-68.39,-9.36
2020-12-15,-127.77,-17.32
