date,delta_2h,delta_18o
2007-01-15,-74.96,-10.49
2007-02-15,-100.97,-13.52
2007-03-15,-99.81,-13.32
2007-04-15,-62.55,-9.01
2007-05-15,-82.36,-11.26
2007-06-15,-63.38,-9.07
2007-07-15,-53.86,-8.16
2007-08-15,-65.8,-9.77
2007-09-15,-63.58,-9.61
2007-10-15,-65.66,-9.49
2007-11-15,-88.14,-12.26
2007-12-15,-93.55,-13.18
2008-01-15,-101.52,-13.82
2008-02-15,-111.05,-14.77
2008-03-15,-100.07,-13.6
2008-04-15,-99.2,-13.39
2008-05-15,-49.18,-6.98
2008-06-15,-76.34,-10.47
2008-07-15,-54.31,-7.84
2008-08-15,-43.37,-6.71
2008-09-15,-61.61,-8.98
2008-10-15,-96.93,-13.28
2008-11-15,-86.31,-12.34
2008-12-15,-110.04,-15.08
2009-01-15,-107.46,-14.82
2009-02-15,-132.75,-17.63
2009-03-15,-111.61,-14.64
2009-04-15,-94.49,-12.83
2009-05-15,-66.62,-9.58
2009-06-15,-50.32,-7.33
2009-07-15,-39.35,-6.0
2009-08-15,-39.49,-6.13
2009-09-15,-32.12,-5.52
2009-10-15,-71.41,-10.63
2009-11-15,-102.46,-14.56
2009-12-15,-117.48,-16.85
2010-01-15,-130.13,-17.58
2010-02-15,-130.91,-17.82
2010-03-15,-84.91,-12.46
2010-04-15,-96.48,-13.46
2010-05-15,-74.6,-10.63
2010-06-15,-78.06,-10.97
2010-07-15,-37.97,-5.77
2010-08-15,-69.3,-10.09
2010-09-15,-51.0,-7.72
2010-10-15,-102.77,-14.27
2010-11-15,-121.66,-16.63
2010-12-15,-114.14,-16.18
2011-01-15,-106.2,-14.13
2011-02-15,-131.96,-17.65
2011-03-15,-99.78,-13.51
2011-04-15,-64.81,-8.9
2011-05-15,-53.68,-7.8
2011-06-15,-54.63,-8.08
2011-07-15,-56.5,-8.56
2011-08-15,-46.23,-7.0
2011-09-15,-56.41,-8.39
2011-10-15,-67.36,-9.69
2011-11-15,-87.26,-10.89
2011-12-15,-103.11,-14.36
2012-01-15,-116.35,-15.8
2012-02-15,-157.22,-20.38
2012-03-15,-88.13,-12.32
2012-04-15,-99.57,-13.86
2012-05-15,-81.21,-11.59
2012-06-15,-59.29,-8.42
2012-07-15,-30.3,-5.06
2012-08-15,-35.58,-5.93
2012-09-15,-69.02,-10.18
2012-10-15,-105.39,-14.42
2012-11-15,-115.51,-15.71
2012-12-15,-122.42,-16.74
2013-01-15,-137.86,-18.31
2013-02-15,-129.71,-17.12
2013-03-15,-107.66,-15.13
2013-04-15,-86.11,-11.99
2013-05-15,-88.94,-12.51
2013-06-15,-63.95,-9.11
2013-07-15,-55.1,-8.11
2013-08-15,-32.86,-5.51
2013-09-15,-55.26,-8.6
2013-10-15,-59.05,-8.91
2013-11-15,-122.95,-16.61
2013-12-15,-137.79,-18.2
2014-01-15,-127.94,-16.93
2014-02-15,-111.25,-14.9
2014-03-15,-135.84,-17.65
2014-04-15,-113.77,-14.05
2014-05-15,-63.38,-9.12
2014-06-15,-40.97,-6.48
2014-07-15,-73.76,-10.38
2014-08-15,-54.42,-8.22
2014-09-15,-50.67,-7.36
2014-10-15,-50.08,-7.9
2014-11-15,-122.4,-16.61
2014-12-15,-119.7,-16.07
2015-01-15,-122.19,-16.45
2015-02-15,-140.9,-18.51
2015-03-15,-96.27,-12.61
2015-04-15,-96.44,-12.78
2015-05-15,-83.52,-11.45
2015-06-15,-51.6,-7.48
2015-07-15,-40.47,-6.15
2015-08-15,-59.48,-8.73
2015-09-15,-68.45,-10.09
2015-10-15,-83.88,-11.93
2015-11-15,-99.48,-13.87
2015-12-15,-88.46,-12.43
2016-01-15,-98.22,-13.8
2016-02-15,-103.58,-14.21
2016-03-15,-105.22,-14.46
2016-04-15,-70.1,-10.11
2016-05-15,-95.44,-12.84
2016-06-15,-77.19,-10.71
2016-07-15,-28.51,-4.75
2016-08-15,-36.35,-5.85
2016-09-15,-58.33,-8.62
2016-10-15,-75.15,-11.18
2016-11-15,-91.52,-13.32
2016-12-15,-113.15,-19.8
2017-01-15,-100.68,-13.83
2017-02-15,-119.41,-16.13
2017-03-15,-97.85,-13.34
2017-04-15,-61.41,-9.29
2017-05-15,-89.48,-12.57
2017-06-15,-47.49,-7.21
2017-07-15,-34.78,-5.31
2017-08-15,-48.19,-7.89
2017-09-15,-59.79,-9.03
2017-10-15,-45.38,-7.25
2017-11-15,-100.46,-13.19
2017-12-15,-108.96,-15.3
2018-01-15,-88.21,-11.91
2018-02-15,-112.76,-15.02
2018-03-15,-110.43,-14.69
2018-04-15,-76.18,-10.64
2018-05-15,-43.97,-6.84
2018-06-15,-61.54,-9.12
2018-07-15,-32.5,-5.21
2018-08-15,-34.6,-5.71
2018-09-15,-40.78,-6.19
2018-10-15,-114.47,-15.96
2018-11-15,-86.8,-12.71
2018-12-15,-84.59,-11.65
