date,delta_2h,delta_18o
2007-01-15,-73.25,-10.27
2007-02-15,-96.56,-13.2
2007-03-15,-104.9,-14.15
2007-04-15,-55.96,-8.64
2007-05-15,-85.24,-11.7
2007-06-15,-63.14,-8.96
2007-07-15,-57.24,-8.64
2007-08-15,-65.53,-9.62
2007-09-15,-58.63,-8.92
2007-10-15,-63.1,-9.24
2007-11-15,-83.97,-11.68
2007-12-15,-86.11,-12.23
2008-01-15,-102.68,-13.55
2008-02-15,-97.42,-13.15
2008-03-15,-98.15,-13.45
2008-04-15,-91.38,-12.54
2008-05-15,-57.25,-7.91
2008-06-15,-67.04,-9.42
2008-07-15,-54.33,-7.86
2008-08-15,-43.18,-6.84
2008-09-15,-63.19,-9.13
2008-10-15,-100.1,-13.74
2008-11-15,-84.22,-11.99
2008-12-15,-119.91,-16.29
2009-01-15,-105.16,-14.0
2009-02-15,-124.7,-16.66
2009-03-15,-105.46,-14.13
2009-04-15,-93.67,-12.61
2009-05-15,-66.98,-9.73
2009-06-15,-46.69,-6.89
2009-07-15,-38.93,-6.13
2009-08-15,-38.19,-5.95
2009-09-15,-36.37,-6.04
2009-10-15,-66.5,-9.77
2009-11-15,-107.93,-15.09
2009-12-15,-117.88,-16.43
2010-01-15,-129.42,-17.21
2010-02-15,-126.38,-16.83
2010-03-15,-92.19,-12.84
2010-04-15,-93.22,-12.84
2010-05-15,-75.13,-10.51
2010-06-15,-67.62,-9.73
2010-07-15,-40.14,-6.35
2010-08-15,-68.29,-9.88
2010-09-15,-58.75,-8.74
2010-10-15,-100.32,-14.07
2010-11-15,-126.23,-16.97
2010-12-15,-117.4,-16.13
2011-01-15,-100.43,-13.26
2011-02-15,-119.24,-15.95
2011-03-15,-88.92,-12.01
2011-04-15,-56.77,-8.2
2011-05-15,-48.93,-7.3
2011-06-15,-50.69,-7.57
2011-07-15,-54.99,-8.3
2011-08-15,-44.43,-6.78
2011-09-15,-54.41,-8.25
2011-10-15,-61.08,-8.92
2011-11-15,-76.34,-9.94
2011-12-15,-95.32,-13.29
2012-01-15,-100.18,-13.86
2012-02-15,-130.28,-16.87
2012-03-15,-88.29,-12.38
2012-04-15,-91.24,-12.66
2012-05-15,-72.41,-10.24
2012-06-15,-53.25,-7.66
2012-07-15,-33.35,-5.54
2012-08-15,-34.0,-5.64
2012-09-15,-63.89,-9.62
2012-10-15,-100.14,-13.72
2012-11-15,-119.23,-16.11
2012-12-15,-114.52,-15.52
2013-01-15,-124.51,-16.64
2013-02-15,-123.25,-16.42
2013-03-15,-117.81,-16.09
2013-04-15,-83.91,-11.7
2013-05-15,-84.92,-11.93
2013-06-15,-73.22,-9.86
2013-07-15,-58.45,-8.31
2013-08-15,-37.63,-6.17
2013-09-15,-52.38,-8.07
2013-10-15,-65.83,-9.65
2013-11-15,-118.32,-16.01
2013-12-15,-146.45,-19.16
2014-01-15,-120.85,-15.95
2014-02-15,-109.93,-14.68
2014-03-15,-116.91,-15.56
2014-04-15,-103.7,-13.67
2014-05-15,-63.85,-9.09
2014-06-15,-38.8,-6.11
2014-07-15,-70.69,-10.25
2014-08-15,-54.26,-8.09
2014-09-15,-56.38,-8.13
2014-10-15,-46.76,-7.47
2014-11-15,-134.37,-18.03
2014-12-15,-115.68,-15.56
2015-01-15,-112.67,-15.2
2015-02-15,-132.23,-17.39
2015-03-15,-92.96,-12.07
2015-04-15,-90.75,-12.13
2015-05-15,-69.04,-9.5
2015-06-15,-48.66,-7.24
2015-07-15,-36.34,-5.3
2015-08-15,-52.55,-7.75
2015-09-15,-64.23,-9.48
2015-10-15,-82.29,-11.64
2015-11-15,-106.39,-14.46
2015-12-15,-75.43,-10.81
2016-01-15,-105.26,-14.38
2016-02-15,-102.98,-13.87
2016-03-15,-99.64,-13.61
2016-04-15,-71.37,-10.31
2016-05-15,-89.14,-12.51
2016-06-15,-73.55,-10.24
2016-07-15,-36.51,-5.98
2016-08-15,-35.04,-5.61
2016-09-15,-61.34,-9.07
2016-10-15,-75.77,-11.01
2016-11-15,-88.72,-12.91
2016-12-15,-102.34,-16.85
2017-01-15,-97.64,-13.49
2017-02-15,-104.85,-14.46
2017-03-15,-91.0,-12.51
2017-04-15,-69.58,-10.47
2017-05-15,-82.27,-11.46
2017-06-15,-45.8,-6.86
2017-07-15,-41.57,-6.14
2017-08-15,-48.22,-7.64
2017-09-15,-59.64,-8.84
2017-10-15,-44.38,-7.11
2017-11-15,-109.09,-14.14
2017-12-15,-107.44,-14.73
2018-01-15,-84.96,-11.37
2018-02-15,-106.96,-14.3
2018-03-15,-103.95,-13.97
2018-04-15,-73.17,-10.14
2018-05-15,-45.88,-7.58
2018-06-15,-61.79,-9.14
2018-07-15,-38.43,-6.14
2018-08-15,-37.21,-6.0
2018-09-15,-39.09,-6.41
2018-10-15,-103.53,-14.52
2018-11-15,-87.06,-12.68
2018-12-15,-80.86,-11.31
2019-01-15,-104.23,-14.47
2019-02-15,-127.96,-17.22
2019-03-15,-70.86,-10.02
2019-04-15,-93.86,-13.24
2019-05-15,-76.75,-10.89
2019-06-15,-36.32,-6.2
2019-07-15,-36.69,-6.16
2019-08-15,-39.69,-6.49
2019-09-15,-51.06,-7.9
2019-10-15,-58.81,-8.87
2019-11-15,-121.46,-16.0
2019-12-15,-109.11,-14.69
2020-01-15,-95.73,-13.39
2020-02-15,-73.46,-10.43
2020-03-15,-87.09,-12.11
2020-04-15,-77.6,-10.71
2020-05-15,-57.68,-8.28
2020-06-15,-58.2,-8.75
2020-07-15,-26.49,-4.61
2020-08-15,-54.83,-8.41
2020-09-15,-68.74,-10.4
2020-10-15,-81.84,-11.58
2020-11-15,-70.16,-9.89
2020-12-15,-129.55,-17.66
