date (yyyy-mm-dd HH:MM:SS),heat content [J/m2]
08.02.1995 12:00,3989920176.0
15.03.1995 12:00,4043551118.0
12.04.1995 12:00,4284142980.0
17.05.1995 12:00,4526386200.0
13.06.1995 12:00,4645432961.0
12.07.1995 12:00,4836461352.0
09.08.1995 12:00,4987198150.0
14.09.1995 12:00,5052877736.0
12.10.1995 12:00,4971752751.0
16.11.1995 12:00,4685329895.0
14.12.1995 12:00,4430701582.0
18.01.1996 12:00,4271881064.0
15.02.1996 12:00,4122200277.0
21.03.1996 12:00,4131274523.0
17.04.1996 12:00,4281955940.0
14.05.1996 12:00,4516149546.0
14.06.1996 12:00,4736554286.0
22.07.1996 12:00,4876799525.0
27.08.1996 12:00,5121121390.0
24.09.1996 12:00,4865320104.0
23.10.1996 12:00,4812149913.0
26.11.1996 12:00,4388496556.0
17.12.1996 12:00,4394224025.0
28.01.1997 12:00,4137939781.0
25.02.1997 12:00,4156817716.0
25.03.1997 12:00,4320005941.0
21.04.1997 12:00,4629016612.0
20.05.1997 12:00,4803634663.0
18.06.1997 12:00,5077658918.0
22.07.1997 12:00,5048916690.0
27.08.1997 12:00,5324949135.0
23.09.1997 12:00,5272557042.0
21.10.1997 12:00,5062010793.0
17.11.1997 12:00,4835287583.0
16.12.1997 12:00,4537322649.0
27.01.1998 12:00,4358878324.0
23.02.1998 12:00,4259385220.0
23.03.1998 12:00,4323342047.0
21.04.1998 12:00,4503410047.0
19.05.1998 12:00,4598915378.0
16.06.1998 12:00,4899198469.0
23.07.1998 12:00,5199437981.0
24.08.1998 12:00,5240620559.0
22.09.1998 12:00,5148574025.0
27.10.1998 12:00,4988339474.0
18.11.1998 12:00,4735553667.0
15.12.1998 12:00,4439060695.0
26.01.1999 12:00,4211700480.0
24.02.1999 12:00,4090667342.0
23.03.1999 12:00,4091174293.0
27.04.1999 12:00,4333097453.0
26.05.1999 12:00,4663314527.0
23.06.1999 12:00,4651996335.0
29.07.1999 12:00,4976698917.0
24.08.1999 12:00,4998733577.0
29.09.1999 12:00,4962073258.0
19.10.1999 12:00,4847223884.0
16.11.1999 12:00,4696376475.0
14.12.1999 12:00,4492390321.0
26.01.2000 12:00,4057870462.0
22.02.2000 12:00,4033723921.0
21.03.2000 12:00,4157570423.0
19.04.2000 12:00,4248174593.0
23.05.2000 12:00,4602032446.0
20.06.2000 12:00,4753514779.0
25.07.2000 12:00,4786177186.0
22.08.2000 12:00,4975648679.0
26.09.2000 12:00,4940358626.0
24.10.2000 12:00,4737649361.0
21.11.2000 12:00,4573571225.0
19.12.2000 12:00,4419481140.0
23.01.2001 12:00,4178107543.0
20.02.2001 12:00,4135901670.0
20.03.2001 12:00,4209421035.0
17.04.2001 12:00,4405372795.0
15.05.2001 12:00,4525497858.0
20.06.2001 12:00,4804730394.0
24.07.2001 12:00,5019381980.0
06.09.2001 12:00,4973753779.0
26.09.2001 12:00,4973148019.0
23.10.2001 12:00,4904656427.0
20.11.2001 12:00,4679918585.0
18.12.2001 12:00,4427503315.0
22.01.2002 12:00,4084134470.0
19.02.2002 12:00,4082249807.0
20.03.2002 12:00,4155322216.0
16.04.2002 12:00,4298217396.0
21.05.2002 12:00,4616912728.0
25.06.2002 12:00,4859248039.0
23.07.2002 12:00,4924009796.0
20.08.2002 12:00,5081900065.0
24.09.2002 12:00,5012936121.0
22.10.2002 12:00,4853499967.0
19.11.2002 12:00,4663496597.0
17.12.2002 12:00,4509459275.0
28.01.2003 12:00,4280100031.0
17.02.2003 12:00,4161558555.0
25.03.2003 12:00,4283400286.0
22.04.2003 12:00,4473354924.0
20.05.2003 12:00,4744151759.0
17.06.2003 12:00,4943073267.0
28.07.2003 12:00,5122508914.0
26.08.2003 12:00,5117348102.0
24.09.2003 12:00,5059176165.0
20.10.2003 12:00,4800122189.0
18.11.2003 12:00,4641820902.0
16.12.2003 12:00,4448134830.0
27.01.2004 12:00,4217746890.0
24.02.2004 12:00,4133405211.0
23.03.2004 12:00,4234736205.0
20.04.2004 12:00,4393842381.0
18.05.2004 12:00,4579881417.0
15.06.2004 12:00,4810091625.0
27.07.2004 12:00,5160762619.0
24.08.2004 12:00,5128581787.0
21.09.2004 12:00,5088116639.0
19.10.2004 12:00,4913864025.0
16.11.2004 12:00,4730367004.0
14.12.2004 12:00,4495944447.0
01.02.2005 12:00,4120023456.0
01.03.2005 12:00,4030793054.0
30.03.2005 12:00,4110875762.0
27.04.2005 12:00,4373280343.0
24.05.2005 12:00,4611407219.0
21.06.2005 12:00,4850650345.0
27.07.2005 12:00,4962708994.0
24.08.2005 12:00,4943137294.0
20.09.2005 12:00,4945523447.0
18.10.2005 12:00,4814481210.0
22.11.2005 12:00,4609832413.0
13.12.2005 12:00,4329506866.0
25.01.2006 12:00,3968239745.0
21.02.2006 12:00,3860146997.0
21.03.2006 12:00,3875641889.0
25.04.2006 12:00,4188697878.0
22.05.2006 12:00,4497492246.0
20.06.2006 12:00,4684516746.0
25.07.2006 12:00,4803344511.0
22.08.2006 12:00,4850902362.0
19.09.2006 12:00,4838835051.0
24.10.2006 12:00,4698086859.0
20.11.2006 12:00,4545022936.0
19.12.2006 12:00,4270928526.0
23.01.2007 12:00,4108761586.0
26.02.2007 12:00,4076777477.0
26.03.2007 12:00,4196777082.0
23.04.2007 12:00,4508127050.0
21.05.2007 12:00,4674563429.0
18.06.2007 12:00,4771738651.0
23.07.2007 12:00,5013795711.0
20.08.2007 12:00,5033072115.0
17.09.2007 12:00,5015289412.0
15.10.2007 12:00,4826304701.0
19.11.2007 12:00,4514519642.0
18.12.2007 12:00,4357501478.0
21.01.2008 12:00,4091245797.0
18.02.2008 12:00,4064943606.0
17.03.2008 12:00,4192510044.0
14.04.2008 12:00,4353195491.0
19.05.2008 12:00,4584750693.0
16.06.2008 12:00,4653945154.0
21.07.2008 12:00,4850142993.0
18.08.2008 12:00,4809473816.0
15.09.2008 12:00,4942321299.0
20.10.2008 12:00,4831718520.0
17.11.2008 12:00,4634055316.0
15.12.2008 12:00,4414552735.0
26.01.2009 12:00,4136760005.0
23.02.2009 12:00,4033116606.0
23.03.2009 12:00,4126397700.0
20.04.2009 12:00,4357903952.0
18.05.2009 12:00,4597213122.0
15.06.2009 12:00,4778394251.0
27.07.2009 12:00,5011547191.0
17.08.2009 12:00,5162451972.0
21.09.2009 12:00,5024010127.0
19.10.2009 12:00,4772943445.0
17.11.2009 12:00,4656933912.0
14.12.2009 12:00,4478263361.0
25.01.2010 12:00,4098751233.0
22.02.2010 12:00,4006814885.0
22.03.2010 12:00,4077928839.0
19.04.2010 12:00,4301872642.0
17.05.2010 12:00,4389755345.0
21.06.2010 12:00,4847950290.0
26.07.2010 12:00,4967168482.0
23.08.2010 12:00,5039103002.0
20.09.2010 12:00,4980904936.0
18.10.2010 12:00,4897168989.0
22.11.2010 12:00,4635858274.0
20.12.2010 12:00,4178745619.0
31.01.2011 12:00,4014707549.0
28.02.2011 12:00,3998396193.0
28.03.2011 12:00,4169934235.0
26.04.2011 12:00,4482819988.0
23.05.2011 12:00,4747594744.0
20.06.2011 12:00,4865960387.0
25.07.2011 12:00,4873458381.0
22.08.2011 12:00,5038067909.0
19.09.2011 12:00,4973540876.0
17.10.2011 12:00,4794519126.0
21.11.2011 12:00,4596115909.0
19.12.2011 12:00,4364771368.0
23.01.2012 12:00,4131826777.0
27.02.2012 12:00,3974820343.0
26.03.2012 12:00,4197948280.0
23.04.2012 12:00,4301213408.0
21.05.2012 12:00,4547131731.0
18.06.2012 12:00,4822529147.0
23.07.2012 12:00,4943582826.0
20.08.2012 12:00,5141001999.0
17.09.2012 12:00,5025203076.0
22.10.2012 12:00,4882132450.0
18.11.2012 12:00,4681657814.0
17.12.2012 12:00,4375250256.0
21.01.2013 12:00,4127015315.0
18.02.2013 12:00,4022805445.0
25.03.2013 12:00,4056215373.0
22.04.2013 12:00,4295629401.0
21.05.2013 12:00,4454156348.0
17.06.2013 12:00,4816562531.0
22.07.2013 12:00,5130709557.0
19.08.2013 12:00,5084343477.0
16.09.2013 12:00,5017714266.0
21.10.2013 12:00,4857580531.0
18.11.2013 12:00,4647477284.0
16.12.2013 12:00,4353531988.0
27.01.2014 12:00,4127128633.0
25.02.2014 12:00,4165250330.0
25.03.2014 12:00,4311586842.0
22.04.2014 12:00,4532146654.0
